 sorted:
6044: 0.0008200419
2619: 0.0008192015
7890: 0.0008094068
3443: 0.0008080768
644: 0.0007966113
5684: 0.0007960786
4011: 0.0007905692
1726: 0.0007850202
974: 0.0007850089
5839: 0.0007774589
4485: 0.0007723634
3650: 0.0007701893
1982: 0.0007670772
2660: 0.0007670503
2654: 0.0007659927
2210: 0.0007651447
6618: 0.0007631979
3030: 0.0007594391
5693: 0.0007582849
4349: 0.0007519480
2474: 0.0007514669
5037: 0.0007500302
1166: 0.0007491236
6715: 0.0007458640
4600: 0.0007457334
7115: 0.0007410935
3615: 0.0007376788
3117: 0.0007345363
3892: 0.0007333194
2256: 0.0007246228
1211: 0.0007230083
2790: 0.0007170831
6914: 0.0007146909
7587: 0.0007141764
3125: 0.0007116644
5743: 0.0007103499
2822: 0.0007097684
5596: 0.0007093577
8174: 0.0007040496
3645: 0.0006962918
1688: 0.0006962131
7699: 0.0006947184
8293: 0.0006940629
2508: 0.0006924407
2297: 0.0006922642
5806: 0.0006921575
896: 0.0006921203
6780: 0.0006852736
2120: 0.0006845156
271: 0.0006821214
5871: 0.0006769984
3192: 0.0006759954
6833: 0.0006757124
6123: 0.0006744426
4448: 0.0006743991
1638: 0.0006711962
8121: 0.0006710816
8294: 0.0006706588
4483: 0.0006677990
840: 0.0006648643
8192: 0.0006645414
3028: 0.0006587009
1186: 0.0006571368
6555: 0.0006555469
5814: 0.0006539397
4530: 0.0006474051
5714: 0.0006456593
7910: 0.0006453821
5445: 0.0006451573
3027: 0.0006445803
5671: 0.0006420299
6156: 0.0006417163
2381: 0.0006374885
1357: 0.0006336139
2727: 0.0006332270
5289: 0.0006326162
5822: 0.0006323830
3812: 0.0006292400
2440: 0.0006267889
4940: 0.0006206123
1026: 0.0006166536
465: 0.0006146209
1919: 0.0006135756
2851: 0.0006133794
7116: 0.0006131248
2774: 0.0006125283
2251: 0.0006120485
6496: 0.0006116614
6774: 0.0006094795
5072: 0.0006093808
2289: 0.0006083548
5449: 0.0006033726
1585: 0.0005972191
2114: 0.0005953206
2693: 0.0005948611
4653: 0.0005932899
7063: 0.0005931873
4261: 0.0005919427
5262: 0.0005906063
2506: 0.0005902389
6417: 0.0005901964
1842: 0.0005857932
5061: 0.0005839314
5073: 0.0005813520
3643: 0.0005804895
3293: 0.0005780503
4179: 0.0005767072
2264: 0.0005753881
35: 0.0005733080
4632: 0.0005711970
6907: 0.0005711234
4299: 0.0005702961
5210: 0.0005680207
5055: 0.0005641027
1992: 0.0005633423
5947: 0.0005613367
3970: 0.0005611823
3800: 0.0005609910
2470: 0.0005602729
204: 0.0005593727
8295: 0.0005592659
3910: 0.0005581570
1473: 0.0005569718
417: 0.0005547880
7651: 0.0005489413
6032: 0.0005477719
2456: 0.0005463540
4290: 0.0005452639
2276: 0.0005392488
7510: 0.0005389738
3903: 0.0005388721
3976: 0.0005365423
4717: 0.0005337377
3586: 0.0005315214
5760: 0.0005312242
5020: 0.0005294206
1990: 0.0005272595
2364: 0.0005234431
1453: 0.0005224607
6560: 0.0005222440
3631: 0.0005213017
5886: 0.0005207427
4795: 0.0005200519
4999: 0.0005172350
2411: 0.0005172251
4587: 0.0005155894
600: 0.0005153979
5273: 0.0005137204
7912: 0.0005135067
5529: 0.0005134962
5872: 0.0005133899
5200: 0.0005115327
7280: 0.0005102581
1918: 0.0005096978
1492: 0.0005087616
6790: 0.0005081003
86: 0.0005067795
7052: 0.0005060156
3516: 0.0005046302
28: 0.0005026859
1498: 0.0005024010
3253: 0.0005021671
290: 0.0005013096
6327: 0.0005002873
4574: 0.0004996996
5233: 0.0004996568
6337: 0.0004995085
1049: 0.0004992846
3404: 0.0004950299
5321: 0.0004938277
8212: 0.0004934788
7624: 0.0004915480
4719: 0.0004908661
6458: 0.0004905238
2433: 0.0004893525
3291: 0.0004890316
1661: 0.0004887249
5829: 0.0004858169
5466: 0.0004846035
7012: 0.0004842159
4528: 0.0004837847
3752: 0.0004829175
3408: 0.0004823868
3634: 0.0004822530
7381: 0.0004813589
6481: 0.0004805788
3720: 0.0004804717
7108: 0.0004804016
5479: 0.0004801145
5804: 0.0004800478
5624: 0.0004794715
7443: 0.0004790653
4247: 0.0004786532
2593: 0.0004786507
7649: 0.0004778903
2517: 0.0004774209
3452: 0.0004772765
2225: 0.0004771905
5096: 0.0004767904
4824: 0.0004761010
1403: 0.0004760022
4510: 0.0004759857
214: 0.0004742513
4980: 0.0004700291
5204: 0.0004693388
2240: 0.0004691264
5130: 0.0004655010
5818: 0.0004646130
5902: 0.0004644002
2814: 0.0004643860
5188: 0.0004639701
1734: 0.0004637068
6980: 0.0004635857
2435: 0.0004631492
4551: 0.0004626761
3635: 0.0004623103
2655: 0.0004601014
5100: 0.0004596761
1893: 0.0004583350
3580: 0.0004580870
56: 0.0004576738
2542: 0.0004562420
4041: 0.0004544589
6979: 0.0004542512
1167: 0.0004534344
4884: 0.0004526629
7992: 0.0004524329
1847: 0.0004523876
2667: 0.0004520783
5301: 0.0004516330
6869: 0.0004505871
1836: 0.0004500595
1571: 0.0004491470
1729: 0.0004489948
3529: 0.0004489189
3447: 0.0004488257
2371: 0.0004477891
6437: 0.0004476055
4341: 0.0004437649
2174: 0.0004417802
1165: 0.0004411124
4266: 0.0004408147
5697: 0.0004404898
5799: 0.0004399491
4361: 0.0004397563
3130: 0.0004376963
5828: 0.0004375819
7478: 0.0004342471
3007: 0.0004337449
4781: 0.0004328011
4021: 0.0004313309
4689: 0.0004295919
3473: 0.0004273617
5288: 0.0004273600
4846: 0.0004265764
4748: 0.0004264149
4162: 0.0004257907
3417: 0.0004253824
2697: 0.0004240788
5527: 0.0004228892
5848: 0.0004221874
765: 0.0004217368
2324: 0.0004215675
3847: 0.0004209910
6174: 0.0004201772
3813: 0.0004197069
1156: 0.0004194994
2973: 0.0004192591
5423: 0.0004189748
2686: 0.0004180599
7839: 0.0004179232
6955: 0.0004173952
3480: 0.0004166762
7871: 0.0004166532
5106: 0.0004165434
637: 0.0004164748
2211: 0.0004163024
4534: 0.0004160361
1723: 0.0004155542
5739: 0.0004149117
2510: 0.0004146382
2646: 0.0004139497
7813: 0.0004129162
4338: 0.0004127023
6934: 0.0004117829
2322: 0.0004116148
5680: 0.0004086441
4175: 0.0004080893
6306: 0.0004074873
5683: 0.0004069050
1637: 0.0004069032
1022: 0.0004054853
6043: 0.0004051919
2909: 0.0004050723
5897: 0.0004045211
5179: 0.0004043866
1352: 0.0004043099
3103: 0.0004042145
3284: 0.0004040309
6347: 0.0004037788
7979: 0.0004011673
3660: 0.0004003538
4964: 0.0003989280
4715: 0.0003982925
3748: 0.0003972994
941: 0.0003964850
3092: 0.0003960334
2955: 0.0003949312
2831: 0.0003941419
5189: 0.0003932828
5452: 0.0003932378
1705: 0.0003932142
3607: 0.0003930402
5182: 0.0003926112
1799: 0.0003924883
1496: 0.0003924263
1565: 0.0003905237
4463: 0.0003898598
608: 0.0003889692
1199: 0.0003877172
2707: 0.0003871448
6523: 0.0003865626
1385: 0.0003863489
5780: 0.0003860296
4072: 0.0003854868
2547: 0.0003848675
1103: 0.0003845527
4547: 0.0003832611
5144: 0.0003827000
5844: 0.0003825093
2160: 0.0003814714
6098: 0.0003810726
7301: 0.0003788344
5819: 0.0003779218
4527: 0.0003777849
2102: 0.0003764502
1416: 0.0003763008
2079: 0.0003759149
3792: 0.0003750149
4986: 0.0003738875
2856: 0.0003737076
4269: 0.0003732423
5199: 0.0003715697
3015: 0.0003714327
1835: 0.0003709595
7833: 0.0003699988
6328: 0.0003692613
8128: 0.0003692062
937: 0.0003681082
3059: 0.0003675298
6296: 0.0003674924
7391: 0.0003661631
1706: 0.0003661378
250: 0.0003658752
2151: 0.0003649095
6770: 0.0003645859
1966: 0.0003642321
1700: 0.0003640349
764: 0.0003623493
6498: 0.0003621079
3014: 0.0003611265
2747: 0.0003607378
1646: 0.0003593651
1956: 0.0003589381
1717: 0.0003580509
1808: 0.0003575755
5775: 0.0003562123
7683: 0.0003560043
6576: 0.0003559099
2787: 0.0003557416
2375: 0.0003553881
6229: 0.0003550332
3680: 0.0003548076
8290: 0.0003539069
2410: 0.0003526111
5998: 0.0003524266
6783: 0.0003509121
1814: 0.0003507520
3276: 0.0003504957
3726: 0.0003501673
439: 0.0003500089
6918: 0.0003497405
4687: 0.0003495987
5463: 0.0003488049
2071: 0.0003482749
7144: 0.0003476285
4365: 0.0003475946
5776: 0.0003467175
856: 0.0003462440
1514: 0.0003462065
5798: 0.0003414040
978: 0.0003413334
2128: 0.0003405201
2231: 0.0003405044
2912: 0.0003402037
959: 0.0003391554
1267: 0.0003390567
3830: 0.0003390515
7662: 0.0003388810
4289: 0.0003386569
3140: 0.0003386260
1159: 0.0003380959
4055: 0.0003371497
4796: 0.0003370157
1307: 0.0003369999
5827: 0.0003367098
4043: 0.0003355643
2819: 0.0003352666
1593: 0.0003349031
2794: 0.0003345194
2785: 0.0003339984
3258: 0.0003334219
3144: 0.0003317866
922: 0.0003307293
3843: 0.0003306019
6600: 0.0003302939
2811: 0.0003301214
1769: 0.0003298499
3180: 0.0003295733
2665: 0.0003295210
1151: 0.0003286786
3885: 0.0003282207
6860: 0.0003273235
6566: 0.0003271279
1378: 0.0003266261
55: 0.0003260441
6599: 0.0003256017
2257: 0.0003252016
5121: 0.0003242079
2595: 0.0003231372
4811: 0.0003217102
7855: 0.0003212792
6505: 0.0003207331
769: 0.0003206501
1977: 0.0003199450
3691: 0.0003195496
2001: 0.0003190119
2325: 0.0003176511
2290: 0.0003167061
7277: 0.0003165410
6930: 0.0003164129
5103: 0.0003158270
1305: 0.0003152551
3958: 0.0003138834
6624: 0.0003137935
5812: 0.0003136655
1412: 0.0003127448
6272: 0.0003119391
5545: 0.0003117805
2674: 0.0003111457
1888: 0.0003091027
1018: 0.0003083168
7168: 0.0003076876
2963: 0.0003071453
2209: 0.0003070422
4297: 0.0003067146
3307: 0.0003067075
1031: 0.0003062974
3453: 0.0003056544
1125: 0.0003050429
2135: 0.0003050214
3029: 0.0003047749
2981: 0.0003043341
4138: 0.0003042647
4233: 0.0003030320
6554: 0.0003024480
1622: 0.0003022690
1608: 0.0003018956
7927: 0.0003018522
5421: 0.0003016396
3937: 0.0003008149
1193: 0.0003006436
6221: 0.0003005459
2900: 0.0003005043
5295: 0.0003002290
2643: 0.0003000665
2252: 0.0002998244
2877: 0.0002996391
3926: 0.0002995984
3010: 0.0002987924
1035: 0.0002982285
5239: 0.0002977164
3887: 0.0002975635
4013: 0.0002971424
1697: 0.0002967259
4962: 0.0002965696
3724: 0.0002958843
1291: 0.0002955407
2016: 0.0002951173
5335: 0.0002950617
1744: 0.0002947381
2544: 0.0002941136
6613: 0.0002928734
1384: 0.0002927002
6875: 0.0002925006
863: 0.0002924308
2560: 0.0002924172
3460: 0.0002919080
5891: 0.0002909527
3351: 0.0002900457
3020: 0.0002895738
6305: 0.0002889197
6441: 0.0002889197
6432: 0.0002887313
4263: 0.0002882018
7618: 0.0002879392
5773: 0.0002879209
1465: 0.0002869775
4662: 0.0002856422
5432: 0.0002849725
6739: 0.0002846841
1859: 0.0002845537
2760: 0.0002843544
1787: 0.0002843330
1482: 0.0002842941
5932: 0.0002839993
4315: 0.0002830945
1239: 0.0002817083
3033: 0.0002808098
3489: 0.0002807621
5439: 0.0002799768
7726: 0.0002799439
545: 0.0002793431
5651: 0.0002779741
4432: 0.0002778744
3787: 0.0002778491
7788: 0.0002761964
4401: 0.0002755161
7101: 0.0002745338
3458: 0.0002738940
3755: 0.0002730110
5925: 0.0002725477
4110: 0.0002716829
1200: 0.0002708021
3371: 0.0002681779
7131: 0.0002678273
2258: 0.0002666883
3807: 0.0002663183
3136: 0.0002658498
4899: 0.0002653055
6442: 0.0002652038
6148: 0.0002651096
1621: 0.0002648779
1191: 0.0002646362
5936: 0.0002633515
2968: 0.0002631993
1127: 0.0002627355
2062: 0.0002625640
2511: 0.0002624512
1330: 0.0002622460
7119: 0.0002619682
415: 0.0002614393
3106: 0.0002612418
6924: 0.0002607873
549: 0.0002601042
665: 0.0002598878
1538: 0.0002594521
7238: 0.0002593217
243: 0.0002593019
7237: 0.0002588871
2579: 0.0002585825
1484: 0.0002574708
4384: 0.0002574543
2605: 0.0002572984
2689: 0.0002572150
2923: 0.0002571637
1374: 0.0002571514
4065: 0.0002571319
4044: 0.0002568723
3274: 0.0002560135
4706: 0.0002553982
5465: 0.0002551021
6243: 0.0002550698
908: 0.0002543322
1157: 0.0002541653
7646: 0.0002538932
857: 0.0002535794
4424: 0.0002530886
2830: 0.0002528835
4201: 0.0002527822
5378: 0.0002524405
407: 0.0002523345
789: 0.0002522916
7694: 0.0002521670
7279: 0.0002518428
5430: 0.0002514548
579: 0.0002514220
6855: 0.0002506154
299: 0.0002503011
7795: 0.0002501792
8209: 0.0002500195
2834: 0.0002493189
4435: 0.0002488625
696: 0.0002485011
7561: 0.0002482991
2932: 0.0002469249
3310: 0.0002465632
1185: 0.0002460092
2700: 0.0002456325
7400: 0.0002456061
677: 0.0002448692
3009: 0.0002446356
2815: 0.0002445429
7946: 0.0002433652
5482: 0.0002430707
5753: 0.0002429385
4953: 0.0002428916
3614: 0.0002425956
2922: 0.0002425000
5026: 0.0002424239
2805: 0.0002418273
7143: 0.0002413433
4929: 0.0002411989
1284: 0.0002393381
8073: 0.0002392220
817: 0.0002385149
2384: 0.0002385069
1247: 0.0002382182
3664: 0.0002380143
3251: 0.0002375707
626: 0.0002375415
930: 0.0002371154
2507: 0.0002361509
282: 0.0002361410
1044: 0.0002357075
1781: 0.0002348122
3435: 0.0002341669
7351: 0.0002340552
3148: 0.0002328933
1428: 0.0002324235
2708: 0.0002319151
5922: 0.0002319151
230: 0.0002317511
3661: 0.0002309222
6000: 0.0002308977
5155: 0.0002307136
1201: 0.0002306307
3381: 0.0002300206
1792: 0.0002297610
6227: 0.0002287791
5506: 0.0002284356
1772: 0.0002283233
7378: 0.0002283024
7005: 0.0002279528
2696: 0.0002272840
7757: 0.0002272542
2326: 0.0002270391
2338: 0.0002264195
1679: 0.0002264077
8224: 0.0002261336
6097: 0.0002257954
5928: 0.0002238273
6699: 0.0002235061
1855: 0.0002234801
6151: 0.0002230714
4373: 0.0002211388
5263: 0.0002209604
5454: 0.0002209306
2592: 0.0002205967
3587: 0.0002203406
7233: 0.0002202428
1965: 0.0002197280
7965: 0.0002194895
5721: 0.0002186386
6897: 0.0002184707
1802: 0.0002184084
2339: 0.0002183027
2612: 0.0002182752
4938: 0.0002181007
4764: 0.0002176805
3854: 0.0002170823
5737: 0.0002169509
756: 0.0002166995
1566: 0.0002164863
1521: 0.0002163755
6976: 0.0002163708
3309: 0.0002159879
6765: 0.0002159564
7054: 0.0002154965
3191: 0.0002152132
609: 0.0002149372
2400: 0.0002138293
6901: 0.0002136259
967: 0.0002134712
1164: 0.0002130149
1360: 0.0002126454
5614: 0.0002121747
5584: 0.0002121167
4808: 0.0002120238
2966: 0.0002115736
7373: 0.0002113221
1497: 0.0002112425
2999: 0.0002112203
760: 0.0002111936
7225: 0.0002103051
5148: 0.0002102933
1811: 0.0002099706
4713: 0.0002098594
5092: 0.0002081879
2246: 0.0002079699
2669: 0.0002077940
3114: 0.0002077863
5637: 0.0002073223
6023: 0.0002066622
4417: 0.0002065820
1788: 0.0002063802
4944: 0.0002057106
5963: 0.0002053864
2620: 0.0002053364
5811: 0.0002052846
7835: 0.0002052699
425: 0.0002050676
49: 0.0002050211
7073: 0.0002047563
2587: 0.0002041908
2623: 0.0002038880
2713: 0.0002035868
2925: 0.0002035518
5083: 0.0002033399
5509: 0.0002032229
4820: 0.0002026331
2597: 0.0002019407
2809: 0.0002018048
3842: 0.0002015432
2828: 0.0002008317
7422: 0.0002001819
859: 0.0002000682
2385: 0.0001998558
895: 0.0001997648
403: 0.0001995940
3021: 0.0001994194
663: 0.0001976869
6001: 0.0001974757
3803: 0.0001969786
2768: 0.0001968882
1250: 0.0001967131
3002: 0.0001964013
2193: 0.0001951854
356: 0.0001950141
1234: 0.0001949576
8297: 0.0001949284
697: 0.0001949227
5568: 0.0001949155
960: 0.0001948182
8134: 0.0001948047
719: 0.0001944888
1749: 0.0001939284
6725: 0.0001936946
6246: 0.0001936444
6501: 0.0001936364
1547: 0.0001932927
1253: 0.0001932388
2329: 0.0001930181
4488: 0.0001925972
7803: 0.0001920985
2972: 0.0001919892
6251: 0.0001919087
6720: 0.0001919040
171: 0.0001917950
4728: 0.0001916870
2157: 0.0001916130
763: 0.0001908823
4777: 0.0001905772
5176: 0.0001898955
5222: 0.0001897884
1285: 0.0001894383
2801: 0.0001885497
1701: 0.0001881494
5790: 0.0001874072
6218: 0.0001872336
350: 0.0001857844
5732: 0.0001853775
794: 0.0001848768
1816: 0.0001846336
152: 0.0001840035
1798: 0.0001833919
1319: 0.0001827533
72: 0.0001826845
1680: 0.0001816366
667: 0.0001814904
5863: 0.0001807261
313: 0.0001805172
4323: 0.0001804970
346: 0.0001800288
6262: 0.0001800196
2073: 0.0001790239
4604: 0.0001788501
1123: 0.0001779708
7707: 0.0001779092
5162: 0.0001776514
2345: 0.0001771600
6241: 0.0001766660
5626: 0.0001766474
1353: 0.0001765388
2356: 0.0001764999
1908: 0.0001763954
7450: 0.0001760463
2618: 0.0001758659
298: 0.0001753786
2765: 0.0001747248
3393: 0.0001744536
7386: 0.0001741638
704: 0.0001734583
259: 0.0001734290
5384: 0.0001726262
1279: 0.0001723355
6945: 0.0001721718
2550: 0.0001720897
1390: 0.0001719541
5582: 0.0001717705
560: 0.0001717549
1758: 0.0001716014
1658: 0.0001708195
8083: 0.0001707835
3969: 0.0001704037
2285: 0.0001699293
6170: 0.0001695044
1489: 0.0001691954
6388: 0.0001691143
1053: 0.0001687460
6594: 0.0001685261
633: 0.0001684468
332: 0.0001684308
1243: 0.0001683928
3455: 0.0001682170
8044: 0.0001679048
3173: 0.0001674157
6789: 0.0001672419
4994: 0.0001669517
1248: 0.0001667706
4422: 0.0001664559
8168: 0.0001658787
3557: 0.0001657984
4876: 0.0001655231
4482: 0.0001650500
8291: 0.0001650455
2685: 0.0001642094
7497: 0.0001638654
659: 0.0001635188
4646: 0.0001632646
2570: 0.0001631417
1393: 0.0001630721
6948: 0.0001630604
6503: 0.0001628434
6029: 0.0001627825
1322: 0.0001625318
1964: 0.0001624911
4613: 0.0001619345
3464: 0.0001616160
6552: 0.0001614021
1953: 0.0001609009
1061: 0.0001608468
1997: 0.0001605872
6270: 0.0001605308
5341: 0.0001604765
54: 0.0001597784
2076: 0.0001587343
2763: 0.0001571368
968: 0.0001569784
3946: 0.0001569513
871: 0.0001569166
8051: 0.0001565178
7529: 0.0001562786
2350: 0.0001559008
1654: 0.0001555208
1000: 0.0001552699
2014: 0.0001549495
2617: 0.0001548921
1903: 0.0001546846
837: 0.0001544645
2754: 0.0001544105
1718: 0.0001543557
813: 0.0001541522
2253: 0.0001540846
887: 0.0001536070
2341: 0.0001533723
7088: 0.0001521952
935: 0.0001521695
1014: 0.0001517764
722: 0.0001516095
3433: 0.0001510059
1476: 0.0001505636
1111: 0.0001505130
4557: 0.0001503069
7094: 0.0001488941
2273: 0.0001488133
1653: 0.0001485332
7341: 0.0001484466
5994: 0.0001481977
8219: 0.0001469769
710: 0.0001469315
1648: 0.0001468124
5802: 0.0001460627
6570: 0.0001457930
5807: 0.0001457123
2764: 0.0001452204
1783: 0.0001451311
3000: 0.0001447274
1603: 0.0001446276
6632: 0.0001440461
7389: 0.0001439707
2662: 0.0001435310
1413: 0.0001432573
1972: 0.0001432268
946: 0.0001432024
1969: 0.0001428178
6528: 0.0001427387
1542: 0.0001426399
1377: 0.0001424771
947: 0.0001423329
1261: 0.0001419574
893: 0.0001417346
7879: 0.0001414996
5835: 0.0001411290
1286: 0.0001410967
1222: 0.0001403686
61: 0.0001402567
3967: 0.0001394212
589: 0.0001393879
4797: 0.0001390479
4500: 0.0001387820
7047: 0.0001387536
4814: 0.0001384448
3956: 0.0001383848
6323: 0.0001383479
2004: 0.0001383349
733: 0.0001380307
1315: 0.0001377495
1927: 0.0001368448
1746: 0.0001363456
6422: 0.0001359938
5817: 0.0001359479
2116: 0.0001359064
1236: 0.0001358070
4098: 0.0001356318
1613: 0.0001353918
4234: 0.0001353195
1573: 0.0001351816
8237: 0.0001345658
1963: 0.0001343828
7544: 0.0001340226
1439: 0.0001339289
3297: 0.0001336750
155: 0.0001336538
3479: 0.0001333959
7778: 0.0001328874
559: 0.0001327885
75: 0.0001327206
373: 0.0001325739
6712: 0.0001321914
761: 0.0001315669
3806: 0.0001312878
1580: 0.0001312661
363: 0.0001302969
7810: 0.0001301102
105: 0.0001300838
3670: 0.0001297047
1394: 0.0001296629
8287: 0.0001293305
5246: 0.0001290948
1419: 0.0001289670
6714: 0.0001284687
227: 0.0001283766
311: 0.0001282846
1097: 0.0001277215
2119: 0.0001275231
8: 0.0001272641
5824: 0.0001267723
2599: 0.0001267700
1464: 0.0001265812
958: 0.0001257266
1987: 0.0001256484
1858: 0.0001255671
6567: 0.0001253553
2106: 0.0001250774
2721: 0.0001250294
8002: 0.0001250087
2332: 0.0001248828
3346: 0.0001240675
715: 0.0001238337
1487: 0.0001235948
723: 0.0001233877
742: 0.0001233711
1034: 0.0001231771
405: 0.0001230423
7763: 0.0001225822
1774: 0.0001222862
6589: 0.0001216909
1230: 0.0001216861
6737: 0.0001214298
972: 0.0001213075
3073: 0.0001212317
5285: 0.0001209669
8124: 0.0001207844
647: 0.0001205502
2977: 0.0001199158
4529: 0.0001196705
3338: 0.0001196144
5973: 0.0001193928
5437: 0.0001192547
1823: 0.0001191139
2687: 0.0001190630
422: 0.0001189886
1592: 0.0001186751
7442: 0.0001185901
1006: 0.0001185177
2951: 0.0001183635
8284: 0.0001167963
2369: 0.0001167718
391: 0.0001162008
6994: 0.0001160063
5012: 0.0001149997
1555: 0.0001148501
4199: 0.0001146206
1296: 0.0001144554
1733: 0.0001140744
739: 0.0001138809
2109: 0.0001138805
372: 0.0001137545
1525: 0.0001133954
5650: 0.0001131098
1610: 0.0001127364
1805: 0.0001127186
2821: 0.0001124924
431: 0.0001123058
3541: 0.0001117392
2475: 0.0001117095
6595: 0.0001112890
750: 0.0001112441
6596: 0.0001110422
3717: 0.0001104709
1973: 0.0001101085
4480: 0.0001099551
5850: 0.0001095770
3164: 0.0001095717
1442: 0.0001091021
6873: 0.0001074745
433: 0.0001070151
2137: 0.0001062744
6166: 0.0001062204
611: 0.0001060730
5215: 0.0001057595
38: 0.0001052636
435: 0.0001052405
2333: 0.0001051108
1471: 0.0001048248
23: 0.0001042918
966: 0.0001039017
1641: 0.0001036273
1411: 0.0001033450
985: 0.0001030227
2479: 0.0001029823
308: 0.0001029253
1777: 0.0001028462
1190: 0.0001027430
4645: 0.0001026633
1849: 0.0001023655
8198: 0.0001023309
1062: 0.0001021229
6736: 0.0001003154
362: 0.0001002465
2580: 0.0000996083
977: 0.0000991555
4791: 0.0000988994
1425: 0.0000982478
432: 0.0000982427
7295: 0.0000980815
1848: 0.0000979256
5392: 0.0000976207
178: 0.0000975583
5837: 0.0000974963
928: 0.0000973231
1548: 0.0000968968
805: 0.0000968738
7050: 0.0000968635
30: 0.0000959927
4468: 0.0000956662
1935: 0.0000954639
2490: 0.0000953013
838: 0.0000952162
3150: 0.0000950101
3099: 0.0000948289
2342: 0.0000948084
7257: 0.0000948084
1587: 0.0000941822
3348: 0.0000940174
587: 0.0000939758
3919: 0.0000934278
5132: 0.0000933241
6628: 0.0000930612
304: 0.0000930269
691: 0.0000929439
989: 0.0000929296
5415: 0.0000926607
1446: 0.0000925374
1857: 0.0000925091
2397: 0.0000921269
1534: 0.0000915410
7924: 0.0000915126
6850: 0.0000909871
402: 0.0000906559
1501: 0.0000903683
1524: 0.0000903599
2053: 0.0000902820
370: 0.0000902781
4189: 0.0000898955
5327: 0.0000896444
2991: 0.0000896015
517: 0.0000895873
1140: 0.0000893365
8149: 0.0000893125
636: 0.0000892045
1131: 0.0000889699
2241: 0.0000888637
4588: 0.0000885195
2095: 0.0000878851
4355: 0.0000874529
1124: 0.0000874492
32: 0.0000871880
1714: 0.0000869436
7512: 0.0000864503
975: 0.0000863170
3871: 0.0000861412
317: 0.0000857350
285: 0.0000850903
1837: 0.0000850135
971: 0.0000849456
803: 0.0000848083
4453: 0.0000848004
982: 0.0000845377
839: 0.0000845083
2770: 0.0000842552
853: 0.0000841922
795: 0.0000841173
1375: 0.0000839507
